State,Total_Population,Rural_Population,Urban_Population,HAC_M_30_Total,HAC_M_30_Rural,HAC_M_30_Urban,HAC_M_60_Total,HAC_M_60_Rural,HAC_M_60_Urban,HAC_M_90_Total,HAC_M_90_Rural,HAC_M_90_Urban,HAC_M_120_Total,HAC_M_120_Rural,HAC_M_120_Urban,HAC_W_60_Total,HAC_W_60_Rural,HAC_W_60_Urban,HAC_W_120_Total,HAC_W_120_Rural,HAC_W_120_Urban,HAC_W_240_Total,HAC_W_240_Rural,HAC_W_240_Urban
Uttar Pradesh,199812341,155317278,44495063,45.2,38.5,72.8,68.9,61.2,89.4,82.7,78.1,95.6,91.5,89.2,98.1,25.8,19.4,45.2,52.6,46.8,71.3,78.9,74.2,93.8
Maharashtra,112374333,61556074,50818259,62.1,52.8,73.9,84.5,78.2,92.1,93.8,91.4,96.7,97.2,96.1,98.6,38.7,31.2,47.8,69.4,62.5,77.9,89.2,85.6,93.7
Bihar,104099452,92341436,11758016,32.8,29.7,58.4,55.6,52.1,78.9,74.2,71.8,87.3,85.9,84.2,93.7,18.4,16.2,31.8,41.7,38.9,59.2,67.3,64.8,82.4
West Bengal,91276115,62213676,29062439,51.3,44.6,67.8,73.9,68.2,86.5,87.4,83.7,95.1,94.6,92.8,98.7,31.2,26.4,42.1,58.7,53.1,71.8,82.4,78.9,91.6
Madhya Pradesh,72626809,52537899,20088910,41.7,35.2,61.4,64.8,58.9,82.1,79.6,75.3,92.8,89.3,86.7,96.2,22.9,18.6,34.7,47.8,42.1,63.9,73.2,68.9,86.4
Tamil Nadu,72147030,25645851,46501179,68.9,58.4,75.2,87.6,79.3,92.8,95.2,91.6,97.4,98.1,96.7,99.2,42.6,34.2,47.8,71.8,64.7,76.3,91.4,87.2,94.1
Rajasthan,68548437,51545064,16003373,38.4,32.1,59.7,61.2,55.8,79.4,76.8,72.4,91.3,87.9,84.6,96.8,20.7,17.2,32.1,44.3,39.8,61.2,68.9,64.7,83.5
Karnataka,61095297,37552529,23542768,59.3,51.2,71.4,81.7,75.8,90.3,92.6,89.1,97.8,96.8,95.2,99.1,36.4,30.1,46.2,65.7,59.3,75.8,86.2,82.4,91.7
Gujarat,60439692,25656500,34783192,64.7,57.2,70.3,85.9,80.4,90.1,94.1,91.7,96.2,97.8,96.3,99.0,39.8,33.4,44.7,68.2,61.8,73.1,87.6,83.9,90.4
Andhra Pradesh,49577103,25777191,23799912,56.2,48.9,64.1,79.4,73.6,85.7,90.8,87.2,94.8,95.7,93.9,97.8,34.1,28.7,40.2,62.4,56.8,68.5,84.6,80.9,88.7
